source_id,source_name,lat,lon,total_co2_emissions_2025,source,year,total_capacity_2025,total_activity_2025,activity_units,capacity_units
427,SATPURA,22.11,78.173,3365095,Central Electricity Authority,Nov-25,1330,3435.29,GWh,MW
429,SEIONI TPP,22.7355,79.9123,2746667,Central Electricity Authority,Nov-25,600,2929.21,GWh,MW
430,SEMBCORP GAYATRI,14.351,80.1443,7976506,Central Electricity Authority,Nov-25,1320,8986.35,GWh,MW
440,SHIRPUR,21.15103,74.854206,1294313,Central Electricity Authority,Nov-25,300,1345.71,GWh,MW
444,Shri Singaji MALWA TPP,22.0971,76.5317,13883942,Central Electricity Authority,Nov-25,2520,14184.38,GWh,MW
445,SIKKA REP.,22.4208,69.8276,831284,Central Electricity Authority,Nov-25,500,789.84,GWh,MW
446,SIMHADRI,17.591,83.0917,11152035,Central Electricity Authority,Nov-25,2000,11456.22,GWh,MW
447,SIMHAPURI TPP,14.2133,80.0838,2998253,Central Electricity Authority,Nov-25,600,2908.51,GWh,MW
448,SINGARENI TPP,18.8372,79.5748,6955301,Central Electricity Authority,Nov-25,1200,7501.08,GWh,MW
450,SINGRAULI STPS,24.1033,82.7068,14140251,Central Electricity Authority,Nov-25,2000,14419.16,GWh,MW
452,SIPAT STPS,22.13,82.293,19865158,Central Electricity Authority,Nov-25,2980,21628.19,GWh,MW
455,SOLAPUR STPP,31.7537,77.246,5884279,Central Electricity Authority,Nov-25,1320,6287.97,GWh,MW
459,SOUTHERN REPL.,22.5488,88.2926,474246,Central Electricity Authority,Nov-25,135,399.38,GWh,MW
464,STERLITE TPP,21.8144,84.0404,2265269,Central Electricity Authority,Nov-25,600,2243.31,GWh,MW
466,SUGEN CCCP,21.3395,72.9889,1251571,Central Electricity Authority,Nov-25,1147.5,3312,GWh,MW
468,SURAT LIG.,21.397,73.106,3418559,Central Electricity Authority,Nov-25,500,2761.52,GWh,MW
469,SURATGARH,29.179,74.0202,13136823,Central Electricity Authority,Nov-25,2820,13446.89,GWh,MW
472,SVPL,22.2915,82.5257,483498,Central Electricity Authority,Nov-25,63,320,GWh,MW
