source_id,source_name,lat,lon,total_co2_emissions_2025,total_activity_2025,activity_units,emissions_factor_2025,emissions_factor_units,total_capacity_2025,capacity_units,capacity_factor_2025,year,source
32438517,My Home Mellacheruvu Cement Plant,16.8104649,79.91603179,2324202.353,3421718.591,t of cement,0.67925,t of CO2 per t of cement,6398514.859,t of cement,0.536290846,2025,Climate Trace
32438537,Heidelbergcement Tumkur Cement Plant,13.2701708,76.72292321,155308.2365,305935.6575,t of cement,0.50765,t of CO2 per t of cement,599860.768,t of cement,0.510010926,2025,Climate Trace
32438540,Zuari Cement Yerraguntla Cement Plant,14.60567595,78.52286264,2342709.598,3448965.18,t of cement,0.67925,t of CO2 per t of cement,5398746.912,t of cement,0.638971695,2025,Climate Trace
32438546,India Cements Wadapally Cement Plant,16.69600136,79.64846719,758062.3976,964885.6331,t of cement,0.78565,t of CO2 per t of cement,2499419.867,t of cement,0.384082846,2025,Climate Trace
32438547,India Cements Yerraguntla Cement Plant,14.64279805,78.52864549,390630.6617,497206.9773,t of cement,0.78565,t of CO2 per t of cement,896791.8482,t of cement,0.554192983,2025,Climate Trace
32438552,JK Cement Muddapur Cement Plant,16.20516995,75.29941196,1447332.538,2130780.329,t of cement,0.67925,t of CO2 per t of cement,3499187.814,t of cement,0.607626694,2025,Climate Trace
32438555,JSW Cement Nandyal Cement Plant,15.68384291,78.45943924,1779047.478,3029867.803,t of cement,0.58717,t of CO2 per t of cement,4798886.144,t of cement,0.63081522,2025,Climate Trace
32438558,KCP Macherla Cement Plant,16.46897243,79.43544957,324930.0869,413581.2218,t of cement,0.78565,t of CO2 per t of cement,799814.3574,t of cement,0.518587963,2025,Climate Trace
32438569,ACC Madukkarai Cement Plant,10.90649644,76.95589618,258853.6273,509905.6974,t of cement,0.50765,t of CO2 per t of cement,999767.9467,t of cement,0.510023611,2025,Climate Trace
32438580,Nuvoco Vistas Arasmeta Cement Plant,21.96814502,82.34970286,732440.1288,1247407.273,t of cement,0.58717,t of CO2 per t of cement,1889561.419,t of cement,0.657610164,2025,Climate Trace
32438585,Orient Cement Chittapur Cement Plant,17.11045049,77.12952444,1405582.316,2069315.15,t of cement,0.67925,t of CO2 per t of cement,2999303.84,t of cement,0.688444948,2025,Climate Trace
32438588,Penna Cement Industries Boyareddypalli Cement Plant,15.06213355,77.9506315,934439.3188,1189383.719,t of cement,0.78565,t of CO2 per t of cement,1999535.893,t of cement,0.591535214,2025,Climate Trace
32438592,Ramco Cements Ariyalur Cement Plant,11.17635479,79.08916841,2127284.008,3131813.041,t of cement,0.67925,t of CO2 per t of cement,5498723.707,t of cement,0.572822515,2025,Climate Trace
32438593,Ramco Cements Jayanthipuram Cement Plant,16.87549673,80.12025295,1027750.655,1513066.847,t of cement,0.67925,t of CO2 per t of cement,3649153.006,t of cement,0.417584403,2025,Climate Trace
32438616,UltraTech Kotputli Cement Plant,27.66684828,76.13062467,1061392.787,1562595.196,t of cement,0.67925,t of CO2 per t of cement,3999071.787,t of cement,0.389945159,2025,Climate Trace
32438620,UltraTech Sewagram Cement Plant,23.43042433,68.71303105,2230513.894,3283789.318,t of cement,0.67925,t of CO2 per t of cement,4998839.733,t of cement,0.65515466,2025,Climate Trace
32438630,Bhavya Cements Guntur Cement Plant,16.65458693,79.81579514,418698.912,532933.128,t of cement,0.78565,t of CO2 per t of cement,1399675.126,t of cement,0.376917479,2025,Climate Trace
32438636,Max Cement East Jaintia Hills Cement Plant,25.23983408,92.39034702,224299.753,285495.7717,t of cement,0.78565,t of CO2 per t of cement,474389.8907,t of cement,0.602951001,2025,Climate Trace
32438638,Hills Cement East Jaintia Hills Cement Plant,25.22580655,92.38749851,406565.6894,517489.5812,t of cement,0.78565,t of CO2 per t of cement,999767.9467,t of cement,0.519773655,2025,Climate Trace
32438640,Jammu & Kashmir Cements Khrew I Cement Plant,34.03223381,75.01590037,80130.56803,101992.7042,t of cement,0.78565,t of CO2 per t of cement,199953.5893,t of cement,0.510081071,2025,Climate Trace
32438641,Suvarna Cements Nalgonda Cement Plant,16.7975983,79.91230238,295157.4273,375685.6454,t of cement,0.78565,t of CO2 per t of cement,693339.071,t of cement,0.544117083,2025,Climate Trace
32438646,Panyam Cements and Mineral Industries Kurnool Cement Plant,15.50071164,78.21072342,769102.6402,978938.0006,t of cement,0.78565,t of CO2 per t of cement,1350686.496,t of cement,0.726689824,2025,Climate Trace
32438647,Parasakti Cement Goli Cement Plant,16.62466069,79.50217504,618759.1619,787576.0987,t of cement,0.78565,t of CO2 per t of cement,1259707.613,t of cement,0.622163459,2025,Climate Trace
32438652,Sree Jayajothi Cements Yanakandla Cement Plant,15.36322157,78.21884405,1301534.685,1656634.233,t of cement,0.78565,t of CO2 per t of cement,3199257.429,t of cement,0.519708628,2025,Climate Trace
32438653,Sri Chakra Cements Guntur Cement Plant,16.38081501,79.72447301,113673.6551,193595.8156,t of cement,0.58717,t of CO2 per t of cement,309928.0635,t of cement,0.623354046,2025,Climate Trace
32438655,Star Cement East Jaintia Hills Cement Plant,25.17808567,92.39026106,530629.2578,1045265.947,t of cement,0.50765,t of CO2 per t of cement,2799350.251,t of cement,0.377041419,2025,Climate Trace
42546499,Satguru Jeerabad Cement Plant,22.41978556,75.06896395,39324.28696,50053.18776,t of cement,0.78565,t of CO2 per t of cement,89979.1152,t of cement,0.556600345,2025,Climate Trace
42546500,Mawmluh-Cherra Cements Cherrapunji‎ Cement Plant,25.26020315,91.71071981,66118.67232,84157.92314,t of cement,0.78565,t of CO2 per t of cement,164961.7112,t of cement,0.5101679,2025,Climate Trace
42547251,Ambuja Cements Marwar Mundwa Cement Plant,27.08043886,73.81604105,677586.6871,1334751.674,t of cement,0.50765,t of CO2 per t of cement,2399443.072,t of cement,0.556600345,2025,Climate Trace
42547271,Asia Fine Cements Rajpura Cement Plant,30.42358239,76.71722992,655404.7828,834219.796,t of cement,0.78565,t of CO2 per t of cement,1499651.92,t of cement,0.556600345,2025,Climate Trace
42547276,Trumboo Cement Wuyan Cement Plant,34.05356194,74.97409724,159481.8305,202993.4837,t of cement,0.78565,t of CO2 per t of cement,364915.3006,t of cement,0.556600345,2025,Climate Trace
42547298,JK Cement Panna Cement Plant,24.32793176,79.96748536,755525.0619,1112293.061,t of cement,0.67925,t of CO2 per t of cement,1999535.893,t of cement,0.556600345,2025,Climate Trace
42547307,Sagar Cements Jeerabad Cement Plant,22.38695487,75.07474773,436936.5218,556146.5307,t of cement,0.78565,t of CO2 per t of cement,999767.9467,t of cement,0.556600345,2025,Climate Trace
42547321,RCCPL Mukutban Cement Plant,19.79898082,78.8667111,1273554.978,2168971.47,t of cement,0.58717,t of CO2 per t of cement,3899094.992,t of cement,0.556600345,2025,Climate Trace
